x,prev,prevN,y
admiration,excessive,by their,-1
copyright,the,permission of,-1
children,their,engaged with,1
tumult,the,the house,-1
friend,his,bingley said,-1
light,amiable,what an,-1
year,the,course of,-1
absence,long,by his,-1
authority,same,by the,-1
encouragement,only,had wanted,-1
engagement,the,dinner when,-1
expectation,their,was beyond,-1
disapprobation,a,by such,-1
regard,with,the latter,-1
help,no,she wanted,-1
sister,a,affection of,-1
pleasure,the,again enjoying,-1
fortnight,morrow,lizzy to,-1
feelings,my,with by,1
time,a,at such,-1
end,an,thereby at,-1
room,ball,in a,-1
anything,like,and smiled,-1
eloquence,and,much love,-1
impression,the,overpowered by,-1
fun,any,have been,-1
permission,his,he sent,-1
smile,elizabeth,information made,-1
honour,the,account for,-1
entrance,their,forward to,-1
everyone,by,and despised,-1
apprehension,that,scotland when,-1
mine,than,be greater,-1
friends,false,hate such,1
farewell,her,lucas paid,-1
method,best,to the,-1
property,large,of very,-1
pleasure,equal,though not,-1
expectations,raising,danger of,1
day,next,dinnertime the,-1
days,the,bennet in,1
knowledge,has,paradise who,-1
assistance,every,readily promised,-1
place,take,did not,-1
men,young,if any,1
guardian,careful,kind and,-1
nephew,the,stand by,-1
friend,truest,and the,-1
companion,agreeable,a very,-1
dialogue,short,kent a,-1
party,whole,of the,-1
light,amiable,in an,-1
conversation,the,from elizabeth,-1
change,a,work such,-1
house,her,them into,-1
building,stone,large handsome,-1
place,took,before they,-1
ladies,of,a number,1
sensations,her,have been,1
change,the,touched than,-1
misfortunes,his,knows what,1
nothing,and,loved me,-1
eyes,her,lift up,1
years,five,died about,1
everything,to,in agreeing,-1
chief,the,to occupy,-1
night,saturday,were off,-1
regrets,and,with fears,1
everyone,envied,her eyes,-1
secrecy,this,why all,-1
truth,real,disclose the,-1
respects,his,to pay,1
occasion,precious,such a,-1
surprise,of,great deal,-1
daughter,her,it said,-1
expression,the,deal but,-1
astonishment,all,other was,-1
sister,her,fears for,-1
astonishment,her,for herself,-1
eye,satirical,a very,-1
way,another,and moved,-1
manners,his,sake that,1
days,few,remain a,1
exclamations,the,stop to,1
account,an,gave you,-1
law,in,his brother,-1
everybody,of,the eyes,-1
companion,the,out as,-1
discourses,the,of both,1
handsomer,look,made her,-1
family,her,wishes of,-1
character,his,family had,-1
creatures,tractable,the most,1
expectation,half,kind of,-1
style,the,she remembered,-1
concerns,minutest,parish the,1
time,their,his cousins,-1
importance,no,now when,-1
understanding,mean,woman of,-1
answers,his,yielding but,1
transcribe,on,copyright research,-1
occasions,find,me to,1
room,the,now in,-1
manner,her,archness in,-1
terms,in,of him,1
everybody,was,how it,-1
vain,in,asked questions,-1
subject,this,too on,-1
hundreds,of,the efforts,1
time,of,was regardless,-1
copies,for,reasonable fee,1
society,and,have employment,-1
renewal,a,relations with,-1
dinner,to,was summoned,-1
blame,any,can throw,-1
picture,the,minutes before,-1
someone,by,her reflections,-1
cows,her,care of,1
health,her,inquiry after,-1
notions,born,these newly,1
house,the,back into,-1
fare,his,set down,-1
acquaintance,their,course of,-1
women,and,to men,1
denial,for,too forcibly,-1
sister,his,anxious for,-1
whisper,half,in a,-1
superciliousness,saw,elizabeth still,-1
embarrassment,the,amazement and,-1
court,at,a place,-1
prospect,the,compared with,-1
want,in,must be,-1
nothing,and,a week,-1
years,three,of about,1
proposal,his,accede to,-1
morrow,to,to meryton,-1
discourse,of,inexhaustible subject,-1
evil,or,of good,-1
design,a,so evident,-1
man,a,favour of,-1
moment,a,lost not,-1
trouble,the,himself all,-1
call,a,it with,-1
concern,lively,to his,-1
nothing,knew,but elizabeth,-1
party,own,of his,-1
resemblance,striking,beheld a,-1
letter,s,mrs. gardiner,-1
room,same,in the,-1
door,the,driven from,-1
matter,the,what is,-1
instances,two,you mentioned,1
illustration,away,anybody went,-1
appearances,and,s scheme,1
course,the,though in,-1
brother,her,tells you,-1
word,the,expressions or,-1
discovery,important,a most,-1
determination,his,or delayed,-1
trunk,her,and pack,-1
family,his,to disgrace,-1
letter,long,write a,-1
parade,a,this is,-1
subject,a,therefore started,-1
elevation,the,insufficient for,-1
dilatory,and,most negligent,-1
walker,excellent,being an,-1
look,s,mr. darcy,-1
morning,the,pleasantness of,-1
power,my,everything in,-1
carriage,the,returning to,-1
arrear,every,paid off,-1
pursuit,in,with elizabeth,-1
beginning,a,of such,-1
ladies,the,be said,1
letter,this,head over,-1
absurdity,little,with a,-1
furniture,the,arrangement of,-1
sister,our,being hereafter,-1
kindness,all,you are,-1
ladies,young,of those,1
men,many,that charm,1
agent,any,trademark owner,-1
comfort,the,dreaded and,-1
doors,of,enjoyment out,1
family,a,by eating,-1
friend,his,and alone,-1
credit,his,much to,-1
opportunity,the,not miss,-1
possibility,the,may be,-1
volunteers,gutenberg,1.f.1 project,1
point,in,see him,-1
knowledge,own,beyond her,-1
room,dressing,of her,-1
loveliness,your,effects of,-1
son,younger,fitzwilliam the,-1
attention,her,without calling,-1
obligations,greatest,under the,1
repose,of,her hours,-1
states,from,solicit contributions,1
principles,s,miss austen,1
side,s,that lady,-1
nothing,know,does lydia,-1
cheerfulness,inconveniences,to bear,-1
home,her,house as,-1
work,any,status of,-1
situation,his,anxiety of,-1
space,that,thought for,-1
lane,the,way along,-1
girls,poor,to my,1
home,at,to do,-1
entreaties,pressing,lydia s,1
daughters,her,never pitied,1
admiration,their,warm in,-1
girl,headstrong,repine obstinate,-1
reason,beyond,so far,-1
everybody,what,it is,-1
custom,the,it is,-1
earnest,pleasing,the first,-1
civility,cold,bingley with,-1
conversation,minutes,a few,-1
character,my,had not,-1
distribution,free,with the,-1
improvement,of,a state,-1
distribution,and,production promotion,-1
performance,her,her age,-1
cause,a,concerned that,-1
cousin,young,importune my,-1
rank,of,a person,-1
door,the,no objection,-1
renewal,any,wish for,-1
house,the,aspect of,-1
mother,the,after examining,-1
red,other,white the,-1
assurance,your,affection and,-1
letter,s,mr. darcy,-1
coffee,when,no answer,-1
circumstance,the,he thought,-1
importance,utmost,of the,-1
source,other,to every,-1
interest,an,a solicitude,-1
deal,good,with a,-1
head,the,inclination of,-1
wife,his,bennet cried,-1
ladies,young,usual with,1
word,a,to mention,-1
contentment,the,reproach that,-1
temptations,the,brighton where,1
groundwork,that,to form,-1
sight,your,them in,-1
particulars,the,she related,1
object,first,lydia his,-1
hand,her,application for,-1
affair,an,with which,-1
admiration,an,as showed,-1
anything,to,infinitely superior,-1
length,at,compassionate silence,-1
punishment,a,not be,-1
father,your,expense of,-1
situation,the,though briefly,-1
father,the,saw only,-1
condition,spiritless,but the,-1
family,my,with all,-1
attention,his,convinced that,-1
anybody,to,it again,-1
time,not,there was,-1
occasions,particular,darcy on,1
chance,no,there is,-1
anyone,with,for conversation,-1
lady,great,beneath this,-1
situation,s,your ladyship,-1
point,every,had lost,-1
happiness,of,other source,-1
object,principal,them his,-1
object,the,saw herself,-1
step,every,water and,-1
collection,tm,project gutenberg,-1
none,for,no fashion,-1
advantage,to,either appear,-1
match,a,how imprudent,-1
place,the,tradesman in,-1
time,of,of scheme,-1
business,the,to be,-1
comers,new,visit no,1
favourite,the,the friend,-1
church,the,us at,-1
nature,by,her has,-1
neighbourhood,the,speed through,-1
gentlemen,the,s visit,1
vexation,peculiar,some little,-1
interest,own,know her,-1
information,4,in section,-1
fish,the,lost and,-1
nothing,do,she could,-1
education,her,who superintended,-1
information,the,previously received,-1
birth,s,after lydia,-1
sister,dearest,time my,-1
course,of,indeed and,-1
heart,her,nor esteem,-1
nuptials,s,her daughter,1
entertainment,of,other powers,-1
behaviour,my,my manners,-1
woman,of,the sort,-1
astonishment,whose,watched and,-1
something,of,it suggested,-1
match,the,man and,-1
expressions,my,my manners,1
hours,many,she for,1
nothing,though,there was,-1
journey,their,relating to,-1
nothing,be,this would,-1
anything,i,nor have,-1
ignorance,with,be satisfied,-1
officer,an,there was,-1
tone,gayer,in a,-1
civility,unite,tried to,-1
notice,a,not contain,-1
honour,an,girls what,-1
cousin,their,listen to,-1
hours,two,feared only,1
acquaintance,my,say of,-1
nothing,is,jane s,-1
change,the,the difference,-1
impatience,from,comprehension and,-1
sister,her,unwilling for,-1
moment,first,from the,-1
astonishment,the,acquaintance now,-1
whisper,to,of herself,-1
separation,a,submit to,-1
indignation,silent,them in,-1
hand,other,on the,-1
rencounter,third,of their,-1
nothing,magic,picture like,-1
entertainment,their,elegance of,-1
scale,its,facts that,-1
inclination,great,feel a,-1
visitor,a,was occasionally,-1
profession,my,have been,-1
sort,the,is indeed,-1
name,tm,project gutenberg,-1
beauty,undiminished,jane in,-1
fearless,and,wild noisy,-1
scheme,fishing,breakfast the,-1
affairs,of,the situation,1
countenance,a,much such,-1
wife,his,he and,-1
neighbour,amiable,of their,-1
behalf,s,on jane,-1
course,the,cousins in,-1
works,proofread,transcribe and,1
truth,the,to own,-1
engagements,their,pleasure of,1
share,equal,settlement her,-1
acknowledgment,in,comyns carr,-1
things,few,are a,1
evils,inevitable,resignation to,1
appearance,the,wished for,-1
air,an,so cheerful,-1
wonder,her,expressive of,-1
request,s,his daughter,-1
party,own,beyond my,-1
arm,walking,who was,-1
scene,the,air of,-1
route,their,to trace,-1
vanity,her,been withdrawn,-1
welcome,their,earnest of,-1
father,their,addressed to,-1
power,my,all in,-1
man,the,finally bribe,-1
schemes,other,as usual,1
dances,of,a couple,1
fears,with,filling him,1
pleasure,s,felt jane,-1
proof,absolute,is no,-1
year,this,improved within,-1
sister,your,alarmed though,-1
reflection,was,where she,-1
delicacy,true,with the,-1
feelings,my,nature of,1
father,your,down to,-1
manner,a,so rational,-1
church,leaving,asked on,-1
agreement,an,consequence of,-1
consequence,in,his equals,-1
readers,the,felt by,1
man,a,so silly,-1
admiration,s,their brother,-1
equals,his,at all,1
account,own,darcy s,-1
will,good,her of,-1
endeavour,earnest,be my,-1
friend,delightful,a most,-1
time,that,had by,-1
house,the,visitors in,-1
interference,his,to pardon,-1
assurances,repeated,length by,1
miles,fifty,what is,1
consideration,any,men of,-1
consideration,any,correspondence for,-1
pause,a,silent after,-1
gentleman,that,turn which,-1
visitors,their,herself when,1
connections,family,woman without,1
expressions,many,but with,1
man,a,enough for,-1
pounds,thousand,half ten,1
something,is,uncle there,-1
garden,his,work in,-1
parlour,dining,to the,-1
time,short,for a,-1
morning,saturday,illustration on,-1
something,before,to her,-1
art,was,the other,-1
acquaintance,the,now seeking,-1
conduct,villainous,against the,-1
honour,of,in defiance,-1
account,an,hand collecting,-1
marriage,the,together before,-1
man,a,of such,-1
enjoyment,the,elizabeth to,-1
cause,a,endeavours in,-1
meeting,my,thought of,-1
book,present,take the,-1
story,the,she told,-1
sake,s,her sister,-1
phrase,the,way with,-1
characters,intricate,yes but,1
mother,my,talked of,-1
spreading,its,fear of,-1
weeks,few,only a,1
sister,her,sense of,-1
breakfast,after,resolved soon,-1
letter,his,purport of,-1
dear,my,enough why,-1
expectations,s,mr. bennet,1
gratitude,of,as years,-1
woman,a,say that,-1
home,at,their reception,-1
part,that,know in,-1
house,that,successor in,-1
sister,favourite,of her,-1
companion,the,thrown off,-1
composure,solemn,all his,-1
love,in,to fall,-1
hand,her,affectionately taking,-1
disguise,this,this concealment,-1
window,room,her dressing,-1
absurdities,loved,chaise elizabeth,1
anything,or,thousand pounds,-1
distinction,the,his mayoralty,-1
comfort,domestic,felicity or,-1
answer,no,bennet made,-1
loves,the,minor passages,1
years,several,who was,1
pause,a,being seated,-1
person,the,defects of,-1
flight,his,certain that,-1
credit,that,she deny,-1
appearance,every,this period,-1
certainty,greater,well as,-1
father,my,objection but,-1
mother,her,silly cried,-1
giddiness,wild,restrain the,-1
success,his,as to,-1
delicacy,exquisite,others its,-1
ladies,young,or three,1
charm,remarkable,the most,-1
illustration,xliv,illustration chapter,-1
creatress,his,exhibited if,-1
illustration,476,the end,-1
indifference,equal,answered with,-1
wife,his,world how,-1
works,electronic,gutenberg tm,1
reproach,self,all anguish,-1
sister,her,to be,-1
meaning,its,reflection but,-1
room,the,and down,-1
abhorrence,your,transactions if,-1
sir,you,live near,-1
copyright,bennet,for miss,-1
affability,all,she is,-1
room,the,out of,-1
news,with,supplied both,-1
step,a,that such,-1
papa,oh,"cried out,--",-1
parlour,breakfast,small summer,-1
particulars,of,satisfactory detail,1
letter,this,on finishing,-1
book,the,interest of,-1
madam,dear,family my,-1
days,few,in a,1
words,her,thoughts and,1
ladies,young,how little,1
moment,a,without losing,-1
trademark,tm,project gutenberg,-1
minute,a,than half,-1
carriage,the,manage before,-1
wine,port,philips breathing,-1
use,the,is for,-1
something,in,being deficient,-1
child,here,library come,-1
object,latter,in the,-1
entreaty,and,the advice,-1
surprise,your,myself at,-1
writer,its,feelings towards,-1
business,this,whole of,-1
advice,my,this is,-1
friend,poor,to our,-1
man,horrid,most disagreeable,-1
precision,more,with rather,-1
promise,the,her with,-1
understanding,her,worse of,-1
liberty,the,house and,-1
birds,own,all your,1
terms,good,be on,1
fee,reasonable,charge a,-1
men,stupid,recommend him,1
point,one,this was,-1
sister,and,a mother,-1
merit,your,sensible of,-1
regard,with,one point,-1
dwelling,his,improvement of,-1
party,supper,philips s,-1
communications,other,among his,1
expectations,my,have all,1
hour,the,fix on,-1
